Count,Date,Hour,Month,Game.Day
33,2017-09-02,12,9,1
36,2017-09-02,13,9,1
25,2017-09-02,14,9,1
34,2017-09-02,15,9,1
26,2017-09-02,16,9,1
27,2017-09-02,17,9,1
8,2017-09-02,18,9,1
16,2017-09-02,19,9,1
21,2017-09-02,20,9,1
22,2017-09-02,21,9,1
23,2017-09-02,22,9,1
26,2017-09-02,23,9,1
25,2017-09-09,12,9,0
24,2017-09-09,13,9,0
28,2017-09-09,14,9,0
19,2017-09-09,15,9,0
29,2017-09-09,16,9,0
23,2017-09-09,17,9,0
22,2017-09-09,18,9,0
44,2017-09-09,19,9,0
16,2017-09-09,20,9,0
23,2017-09-09,21,9,0
11,2017-09-09,22,9,0
11,2017-09-09,23,9,0
30,2017-09-16,12,9,1
23,2017-09-16,13,9,1
25,2017-09-16,14,9,1
25,2017-09-16,15,9,1
24,2017-09-16,16,9,1
13,2017-09-16,17,9,1
21,2017-09-16,18,9,1
40,2017-09-16,19,9,1
21,2017-09-16,20,9,1
13,2017-09-16,21,9,1
13,2017-09-16,22,9,1
23,2017-09-16,23,9,1
32,2017-09-23,12,9,1
28,2017-09-23,13,9,1
27,2017-09-23,14,9,1
17,2017-09-23,15,9,1
18,2017-09-23,16,9,1
13,2017-09-23,17,9,1
27,2017-09-23,18,9,1
20,2017-09-23,19,9,1
9,2017-09-23,20,9,1
12,2017-09-23,21,9,1
28,2017-09-23,22,9,1
18,2017-09-23,23,9,1
17,2017-09-30,12,9,0
31,2017-09-30,13,9,0
21,2017-09-30,14,9,0
29,2017-09-30,15,9,0
20,2017-09-30,16,9,0
26,2017-09-30,17,9,0
18,2017-09-30,18,9,0
21,2017-09-30,19,9,0
28,2017-09-30,20,9,0
11,2017-09-30,21,9,0
22,2017-09-30,22,9,0
16,2017-09-30,23,9,0
25,2017-10-07,12,10,0
24,2017-10-07,13,10,0
16,2017-10-07,14,10,0
21,2017-10-07,15,10,0
20,2017-10-07,16,10,0
21,2017-10-07,17,10,0
13,2017-10-07,18,10,0
3,2017-10-07,19,10,0
6,2017-10-07,20,10,0
7,2017-10-07,21,10,0
10,2017-10-07,22,10,0
15,2017-10-07,23,10,0
21,2017-10-14,12,10,0
17,2017-10-14,13,10,0
15,2017-10-14,14,10,0
19,2017-10-14,15,10,0
15,2017-10-14,16,10,0
11,2017-10-14,17,10,0
19,2017-10-14,18,10,0
16,2017-10-14,19,10,0
11,2017-10-14,20,10,0
15,2017-10-14,21,10,0
18,2017-10-14,22,10,0
9,2017-10-14,23,10,0
23,2017-10-21,12,10,1
15,2017-10-21,13,10,1
23,2017-10-21,14,10,1
27,2017-10-21,15,10,1
21,2017-10-21,16,10,1
17,2017-10-21,17,10,1
10,2017-10-21,18,10,1
18,2017-10-21,19,10,1
16,2017-10-21,20,10,1
15,2017-10-21,21,10,1
25,2017-10-21,22,10,1
16,2017-10-21,23,10,1
24,2017-10-28,12,10,0
21,2017-10-28,13,10,0
25,2017-10-28,14,10,0
24,2017-10-28,15,10,0
25,2017-10-28,16,10,0
18,2017-10-28,17,10,0
20,2017-10-28,18,10,0
22,2017-10-28,19,10,0
19,2017-10-28,20,10,0
19,2017-10-28,21,10,0
17,2017-10-28,22,10,0
16,2017-10-28,23,10,0
20,2017-11-04,12,11,1
19,2017-11-04,13,11,1
19,2017-11-04,14,11,1
21,2017-11-04,15,11,1
27,2017-11-04,16,11,1
30,2017-11-04,17,11,1
21,2017-11-04,18,11,1
24,2017-11-04,19,11,1
26,2017-11-04,20,11,1
15,2017-11-04,21,11,1
12,2017-11-04,22,11,1
14,2017-11-04,23,11,1
14,2017-11-11,12,11,0
16,2017-11-11,13,11,0
10,2017-11-11,14,11,0
18,2017-11-11,15,11,0
9,2017-11-11,16,11,0
25,2017-11-11,17,11,0
7,2017-11-11,18,11,0
9,2017-11-11,19,11,0
13,2017-11-11,20,11,0
11,2017-11-11,21,11,0
15,2017-11-11,22,11,0
9,2017-11-11,23,11,0
11,2017-11-18,12,11,0
21,2017-11-18,13,11,0
26,2017-11-18,14,11,0
19,2017-11-18,15,11,0
20,2017-11-18,16,11,0
22,2017-11-18,17,11,0
14,2017-11-18,18,11,0
12,2017-11-18,19,11,0
13,2017-11-18,20,11,0
7,2017-11-18,21,11,0
7,2017-11-18,22,11,0
18,2017-11-18,23,11,0
18,2017-11-25,12,11,0
17,2017-11-25,13,11,0
9,2017-11-25,14,11,0
14,2017-11-25,15,11,0
17,2017-11-25,16,11,0
16,2017-11-25,17,11,0
18,2017-11-25,18,11,0
6,2017-11-25,19,11,0
9,2017-11-25,20,11,0
8,2017-11-25,21,11,0
10,2017-11-25,22,11,0
4,2017-11-25,23,11,0
21,2017-12-02,12,12,0
14,2017-12-02,13,12,0
25,2017-12-02,14,12,0
25,2017-12-02,15,12,0
20,2017-12-02,16,12,0
24,2017-12-02,17,12,0
16,2017-12-02,18,12,0
8,2017-12-02,19,12,0
15,2017-12-02,20,12,0
10,2017-12-02,21,12,0
10,2017-12-02,22,12,0
11,2017-12-02,23,12,0
12,2017-12-09,12,12,0
18,2017-12-09,13,12,0
15,2017-12-09,14,12,0
21,2017-12-09,15,12,0
18,2017-12-09,16,12,0
28,2017-12-09,17,12,0
19,2017-12-09,18,12,0
10,2017-12-09,19,12,0
9,2017-12-09,20,12,0
11,2017-12-09,21,12,0
9,2017-12-09,22,12,0
11,2017-12-09,23,12,0
19,2017-12-16,12,12,0
26,2017-12-16,13,12,0
20,2017-12-16,14,12,0
12,2017-12-16,15,12,0
26,2017-12-16,16,12,0
25,2017-12-16,17,12,0
17,2017-12-16,18,12,0
15,2017-12-16,19,12,0
16,2017-12-16,20,12,0
13,2017-12-16,21,12,0
7,2017-12-16,22,12,0
8,2017-12-16,23,12,0
15,2017-12-23,12,12,0
19,2017-12-23,13,12,0
17,2017-12-23,14,12,0
25,2017-12-23,15,12,0
23,2017-12-23,16,12,0
19,2017-12-23,17,12,0
16,2017-12-23,18,12,0
11,2017-12-23,19,12,0
18,2017-12-23,20,12,0
18,2017-12-23,21,12,0
9,2017-12-23,22,12,0
9,2017-12-23,23,12,0
11,2017-12-30,12,12,0
18,2017-12-30,13,12,0
